	Unnamed: 0	date	handle	text	time_stamp	ms_today	ms_tomorrow	normalized_headline
2	2	2019-09-12	@amazon	@alysfight Thanks for reaching out and sharing! We're always happy to help raise awareness for such a worthy cause! #AmazonGoesGold	1568325082.0	1	0	alysfight thanks for reaching out and sharing we're always happy to help raise awareness for such a worthy cause amazongoesgold
6	6	2019-09-12	@amazon	@YesIHave4Kids That's purrrfect! When your feline isn't snuggled up or hanging out in Amazon boxes, what does this darling kitty like to do?	1568314467.0	1	0	yesihave4kids that's purrrfect when your feline isn't snuggled up or hanging out in amazon boxes, what does this darling kitty like to do?
13	13	2019-09-11	@amazon	RT @JeffBezos: Today, we announced that we added 24 schools in #Nashville to our #AmazonFutureEngineer program. Loved celebrating the great…	1568235573.0	1	1	rt jeffbezos: today, we announced that we added 24 schools in nashville to our amazonfutureengineer program. loved celebrating the great
20	20	2019-09-12	@amazon	@alysfight Thanks for reaching out and sharing! We're always happy to help raise awareness for such a worthy cause! #AmazonGoesGold	1568325082.0	1	0	alysfight thanks for reaching out and sharing we're always happy to help raise awareness for such a worthy cause amazongoesgold
24	24	2019-09-12	@amazon	@YesIHave4Kids That's purrrfect! When your feline isn't snuggled up or hanging out in Amazon boxes, what does this darling kitty like to do?	1568314467.0	1	0	yesihave4kids that's purrrfect when your feline isn't snuggled up or hanging out in amazon boxes, what does this darling kitty like to do?
31	31	2019-09-11	@amazon	RT @JeffBezos: Today, we announced that we added 24 schools in #Nashville to our #AmazonFutureEngineer program. Loved celebrating the great…	1568235573.0	1	1	rt jeffbezos: today, we announced that we added 24 schools in nashville to our amazonfutureengineer program. loved celebrating the great
37	37	2019-09-10	@amazon	RT @seattlechildren: Thanks to @JeffBezos and @amazon for visiting our patients and raising awareness and advocacy for childhood cancer. #A…	1568149654.0	0	1	rt seattlechildren: thanks to jeffbezos and amazon for visiting our patients and raising awareness and advocacy for childhood cancer. a
39	39	2019-09-10	@amazon	We recently lit up The Spheres on our #Seattle campus gold to kick off #AmazonGoesGold, which raises awareness arou… https://t.co/sl2C8tsoYi	1568138164.0	0	1	we recently lit up the spheres on our seattle campus gold to kick off amazongoesgold, which raises awareness arou https:t.cosl2c8tsoyi
41	41	2019-09-10	@amazon	@JulieEngel10 Thank you so much for your feedback! #AmazonGoesGold	1568084193.0	0	1	julieengel10 thank you so much for your feedback amazongoesgold
44	44	2019-09-09	@amazon	We’re mobilizing two Amazon Air flights, full of tens of thousands of relief items, to communities in the Bahamas a… https://t.co/heGJ8yG33H	1568049295.0	0	0	were mobilizing two amazon air flights, full of tens of thousands of relief items, to communities in the bahamas a https:t.cohegj8yg33h
54	54	2019-09-07	@amazon	@MicheleCBspeech Thanks for the shout out, Michele! We're so happy you're enjoying our #AmazonGoesGold packaging!	1567879700.0	0	0	michelecbspeech thanks for the shout out, michele we're so happy you're enjoying our amazongoesgold packaging
95	95	2019-08-27	@amazon	@LouisCostillaJ1 @R_Roddy_Piper @BeckyLynchWWE @OriginalFunko @AmazonHelp Yay! We hope you enjoy! 🤗🤗🤗	1566946260.0	0	1	louiscostillaj1 rroddypiper beckylynchwwe originalfunko amazonhelp yay we hope you enjoy 
100	100	2019-08-26	@amazon	#FreeYourTV with @amazonfiretv. We traveled around the country to help real families make the switch to streaming.… https://t.co/2EceUaDxy6	1566862611.0	1	0	freeyourtv with amazonfiretv. we traveled around the country to help real families make the switch to streaming. https:t.co2eceuadxy6
101	101	2019-08-26	@amazon	@LouisCostillaJ1 @AmazonHelp @TMNTMovie Looks like it's time for a Ninja Turtle movie night! Someone grab the nunch… https://t.co/jyj8hNX576	1566855044.0	1	0	louiscostillaj1 amazonhelp tmntmovie looks like it's time for a ninja turtle movie night someone grab the nunch https:t.cojyj8hnx576
111	111	2019-08-21	@amazon	Refresh your beauty routine with Amazon Live! Watch &amp; shop our limited-time video series showcasing today’s hottest… https://t.co/KEA9DV8Zj5	1566412323.0	1	0	refresh your beauty routine with amazon live watch amp; shop our limited-time video series showcasing todays hottest https:t.cokea9dv8zj5
130	130	2019-08-16	@amazon	We’ve opened our fourth Amazon 4-star location, and the first in Seattle! Check out the new store that features pro… https://t.co/KyHtAWj1w7	1565981196.0	0	0	weve opened our fourth amazon 4-star location, and the first in seattle check out the new store that features pro https:t.cokyhtawj1w7
147	147	2019-08-08	@amazon	"RT @DoraMovie: “Alexa, tell me a Dora story!”
 
We teamed up with Amazon to make new Dora stories in the StoryTime skill for Alexa. And for…"	1565290341.0	1	0	rt doramovie: alexa, tell me a dora story we teamed up with amazon to make new dora stories in the storytime skill for alexa. and for
160	160	2019-08-06	@amazon	RT @amazonnews: .@GMA has the story of how deserving teachers are getting help with supplies on their Amazon Wish Lists this back-to-school…	1565132513.0	0	1	rt amazonnews: .gma has the story of how deserving teachers are getting help with supplies on their amazon wish lists this back-to-school
163	163	2019-08-02	@amazon	"@LouisCostillaJ1 @AmazonHelp It's a wonder how the packaging held together through the epic battle!

Give us your b… https://t.co/4yWgyt2gv3"	1564777877.0	0	0	louiscostillaj1 amazonhelp it's a wonder how the packaging held together through the epic battlegive us your b https:t.co4ywgyt2gv3
209	209	2019-07-22	@amazon	@NanjibaM We're happy to hear you had a great experience, Nanjiba! Thanks for being an awesome Amazon customer.	1563823080.0	1	0	nanjibam we're happy to hear you had a great experience, nanjiba thanks for being an awesome amazon customer.
237	237	2019-07-18	@amazon	Did you know you can trade in select Apple, Samsung, and other tablets?  With the Amazon Trade-in program, you can… https://t.co/12LGDNGFNQ	1563485401.0	0	0	did you know you can trade in select apple, samsung, and other tablets?  with the amazon trade-in program, you can https:t.co12lgdngfnq
281	281	2019-07-16	@amazon	RT @amazonnews: For #PrimeDay, we surprised #AmazonFutureEngineer students at coding camps with school supplies and #STEM games and toys. W…	1563317532.0	0	0	rt amazonnews: for primeday, we surprised amazonfutureengineer students at coding camps with school supplies and stem games and toys. w
285	285	2019-07-16	@amazon	@MikePattinson @AmazonUK @AmazonHelp Looks like Jensen has found the puuurr-fect hiding spot!  🐱 Thanks so much for sharing. 🐾	1563311741.0	0	0	mikepattinson amazonuk amazonhelp looks like jensen has found the puuurr-fect hiding spot   thanks so much for sharing. 
303	303	2019-07-16	@amazon	RT @thisbar: TODAY is the day ladies and gents..... #PRIMEDAY!! Get your Monday groove on and head over to @amazon for 20% off your favorit…	1563284700.0	0	0	rt thisbar: today is the day ladies and gents.. primeday get your monday groove on and head over to amazon for 20 off your favorit
305	305	2019-07-16	@amazon	RT @amazonnews: #PrimeDay in the U.S. is in full swing! Prime members worldwide have more than 100,000 Prime Day deals that are now live or…	1563277680.0	0	0	rt amazonnews: primeday in the u.s. is in full swing prime members worldwide have more than 100,000 prime day deals that are now live or
306	306	2019-07-16	@amazon	RT @amazonmusic: For a limited time only, @garthbrooks' Limited Legacy Collection vinyl bundle will be discounted exclusively for Prime Mem…	1563275640.0	0	0	rt amazonmusic: for a limited time only, garthbrooks' limited legacy collection vinyl bundle will be discounted exclusively for prime mem
346	346	2019-07-15	@amazon	"RT @amazonmusic: Walking into Monday like... 

⁦@taylorswift13⁩ 

Happy #PrimeDay! 
#PrimeDayConcert https://t.co/46CrxJfOcW"	1563206724.0	0	0	rt amazonmusic: walking into monday like taylorswift13 happy primeday primedayconcert https:t.co46crxjfocw
354	354	2019-07-15	@amazon	RT @markwahlberg: Had a great day delivering @PerformInspired products with my new buddy Jesus for @amazon #primeday which starts today! Re…	1563204067.0	0	0	rt markwahlberg: had a great day delivering performinspired products with my new buddy jesus for amazon primeday which starts today re
364	364	2019-07-15	@amazon	Amazon Prime Day is here today and gone tomorrow. Check out these epic deals. July 15th and 16th.… https://t.co/2aL9SVyaM5	1563174312.0	0	0	amazon prime day is here today and gone tomorrow. check out these epic deals. july 15th and 16th. https:t.co2al9svyam5
366	366	2019-07-15	@amazon	@madintangibles It's the most wonderful time of the year 'cuz Amazon is coming to town! 😍📦	1563151920.0	0	0	madintangibles it's the most wonderful time of the year 'cuz amazon is coming to town 
368	368	2019-07-14	@amazon	@ashleyjjennings @amazonprimenow Yay! It's almost here! 😍😍😍😍	1563135597.0	0	0	ashleyjjennings amazonprimenow yay it's almost here 
375	375	2019-07-12	@amazon	Amazon Prime Day starts Monday! Two days of deals bound to make waves. July 15th and 16th. https://t.co/1OMl7PxZPO https://t.co/lD0FHgSiCX	1562958011.0	1	0	amazon prime day starts monday two days of deals bound to make waves. july 15th and 16th. https:t.co1oml7pxzpo https:t.cold0fhgsicx
376	376	2019-07-12	@amazon	.@LadyGaga's new cosmetics line @hauslabs is coming to Amazon! You'll be able to pre-order the products during… https://t.co/2RtkW4Gh5p	1562949544.0	1	0	.ladygaga's new cosmetics line hauslabs is coming to amazon you'll be able to pre-order the products during https:t.co2rtkw4gh5p
379	379	2019-07-11	@amazon	Missed the @AmazonMusic #PrimeDay concert last night with @taylorswift13, @DUALIPA, @sza &amp; @iambeckyg? We got you!… https://t.co/JLYIJZ4n6x	1562886994.0	0	1	missed the amazonmusic primeday concert last night with taylorswift13, dualipa, sza amp; iambeckyg? we got you https:t.cojlyijz4n6x
383	383	2019-07-11	@amazon	RT @PrimeVideo: WE'RE LIVE! Catch @TaylorSwift13, @DuaLipa, @Sza and @iamBeckyG at the @AmazonMusic #PrimeDay Concert now, only on Amazon P…	1562808433.0	0	1	rt primevideo: we're live catch taylorswift13, dualipa, sza and iambeckyg at the amazonmusic primeday concert now, only on amazon p
384	384	2019-07-10	@amazon	You can now watch the official @YouTube app on compatible @AmazonFireTV devices! Click here to find out how you can… https://t.co/Xn9TMYintg	1562795580.0	1	0	you can now watch the official youtube app on compatible amazonfiretv devices click here to find out how you can https:t.coxn9tmyintg
387	387	2019-07-10	@amazon	"RT @taylorswift13: Tune in to @PrimeVideo tonight 9pm ET! @amazonmusic #PrimeDay
https://t.co/Eg8DkJFj6n https://t.co/TcYEk0S10P"	1562779140.0	1	0	rt taylorswift13: tune in to primevideo tonight 9pm et amazonmusic primedayhttps:t.coeg8dkjfj6n https:t.cotcyek0s10p
393	393	2019-07-09	@amazon	RT @JUST: It's not a DANG DAD, it's a HUGE deal on #JUSTWater in anticipation for @Amazon #PrimeDay! We're ramping up to Prime Day by slash…	1562703480.0	1	1	rt just: it's not a dang dad, it's a huge deal on justwater in anticipation for amazon primeday we're ramping up to prime day by slash
395	395	2019-07-09	@amazon	RT @iambeckyg: Just a few more days til the #PrimeDay concert on July 10th, presented by @amazonmusic! Can’t wait to see you soon NYC!! 💋🖤@…	1562638920.0	1	1	rt iambeckyg: just a few more days til the primeday concert on july 10th, presented by amazonmusic cant wait to see you soon nyc 
397	397	2019-09-11	@jeffbezos	Today, we announced that we added 24 schools in #Nashville to our #AmazonFutureEngineer program. Loved celebrating… https://t.co/l4S1iQ2Z46	1568231124.0	1	1	today, we announced that we added 24 schools in nashville to our amazonfutureengineer program. loved celebrating https:t.col4s1iq2z46
398	398	2019-09-09	@jeffbezos	We're sending two Amazon Air planes packed with tens of thousands of Amazon-donated and customer-donated relief ite… https://t.co/Fd17SxhNzS	1568037658.0	0	0	we're sending two amazon air planes packed with tens of thousands of amazon-donated and customer-donated relief ite https:t.cofd17sxhnzs
410	410	2019-06-06	@jeffbezos	Leo’s story is amazing and so is his mom. #AmazonFutureEngineer https://t.co/QQPKg3GZ2T	1559795107.0	1	1	leos story is amazing and so is his mom. amazonfutureengineer https:t.coqqpkg3gz2t
411	411	2019-06-06	@jeffbezos	.@AmazonreMARS is all about bringing the best and brightest together, so it’s fitting that I got to meet Leo — one… https://t.co/JRbs3woMFU	1559791516.0	1	1	.amazonremars is all about bringing the best and brightest together, so its fitting that i got to meet leo  one https:t.cojrbs3womfu
414	414	2019-05-23	@jeffbezos	Great annual shareholder meeting today. #Amazon https://t.co/g9keKvGyq0	1558592733.0	0	0	great annual shareholder meeting today. amazon https:t.cog9kekvgyq0
417	417	2019-09-11	@jeffbezos	Today, we announced that we added 24 schools in #Nashville to our #AmazonFutureEngineer program. Loved celebrating… https://t.co/l4S1iQ2Z46	1568231124.0	1	1	today, we announced that we added 24 schools in nashville to our amazonfutureengineer program. loved celebrating https:t.col4s1iq2z46
418	418	2019-09-09	@jeffbezos	We're sending two Amazon Air planes packed with tens of thousands of Amazon-donated and customer-donated relief ite… https://t.co/Fd17SxhNzS	1568037658.0	0	0	we're sending two amazon air planes packed with tens of thousands of amazon-donated and customer-donated relief ite https:t.cofd17sxhnzs
430	430	2019-06-06	@jeffbezos	Leo’s story is amazing and so is his mom. #AmazonFutureEngineer https://t.co/QQPKg3GZ2T	1559795107.0	1	1	leos story is amazing and so is his mom. amazonfutureengineer https:t.coqqpkg3gz2t
431	431	2019-06-06	@jeffbezos	.@AmazonreMARS is all about bringing the best and brightest together, so it’s fitting that I got to meet Leo — one… https://t.co/JRbs3woMFU	1559791516.0	1	1	.amazonremars is all about bringing the best and brightest together, so its fitting that i got to meet leo  one https:t.cojrbs3womfu
434	434	2019-05-23	@jeffbezos	Great annual shareholder meeting today. #Amazon https://t.co/g9keKvGyq0	1558592733.0	0	0	great annual shareholder meeting today. amazon https:t.cog9kekvgyq0
442	442	2019-04-11	@jeffbezos	Been an honor &amp; pleasure having Tom Alberg on Amazon’s Board. Tom joined in 1996 and has been with us ever since -… https://t.co/QXJ1YF5ORB	1554985835.0	0	0	been an honor amp; pleasure having tom alberg on amazons board. tom joined in 1996 and has been with us ever since - https:t.coqxj1yf5orb
449	449	2019-01-02	@jeffbezos	I have outstanding news to ring in 2019. Former Alexa VP &amp; long-time Amazonian Mike George has agreed to lead the D… https://t.co/pePgyk8DDM	1546389324.0	1	0	i have outstanding news to ring in 2019. former alexa vp amp; long-time amazonian mike george has agreed to lead the d https:t.copepgyk8ddm
451	451	2018-11-12	@jeffbezos	"Had the privilege today of unveiling our newest Amazon Air 767 - ""Valor"" - named in honor of the thousands of Amazo… https://t.co/2cBMYGm5Au"	1542064195.0	0	0	had the privilege today of unveiling our newest amazon air 767 - valor - named in honor of the thousands of amazo https:t.co2cbmygm5au
453	453	2018-10-23	@jeffbezos	Amazon just won The American Foundation for the Blind’s Helen Keller award! Huge kudos to the whole team on working… https://t.co/yjmiCRuLAM	1540304487.0	1	0	amazon just won the american foundation for the blinds helen keller award huge kudos to the whole team on working https:t.coyjmicrulam
464	464	2018-07-01	@jeffbezos	Wishing @SpecialOlympics tennis competitor (and Amazonian!) Leonard Flowers luck in the @2018USAGames this week! Gr… https://t.co/NIvKyhkVHy	1530464533.0	0	0	wishing specialolympics tennis competitor and amazonian leonard flowers luck in the 2018usagames this week gr https:t.conivkyhkvhy
488	488	2018-02-21	@jeffbezos	Happy to announce that Amazon Studios is adapting Iain M. Banks’ amazing Culture series — a huge personal favorite… https://t.co/iMESIiiT2O	1519221927.0	0	0	happy to announce that amazon studios is adapting iain m. banks amazing culture series  a huge personal favorite https:t.coimesiiit2o
496	496	2019-09-13	@primevideo	"RT @IndieWire: From Producers of ""Bojack Horseman"" comes an imaginative new animated series. Watch #Undone, only on Amazon @PrimeVideo. htt…"	1568405960.0	0	0	rt indiewire: from producers of bojack horseman comes an imaginative new animated series. watch undone, only on amazon primevideo. htt
504	504	2019-09-12	@primevideo	RT @verge: Amazon Video’s animated series Undone could be the start of something amazing https://t.co/uLWyZf74Dw https://t.co/EA9kLxiqqE	1568329631.0	1	0	rt verge: amazon videos animated series undone could be the start of something amazing https:t.coulwyzf74dw https:t.coea9klxiqqe
506	506	2019-09-12	@primevideo	RT @IndieWire: Amazon's #Undone is a genre-bending, time-breaking experiment and an artistic feat. @BenTTravers reviews: https://t.co/LiP7X…	1568321825.0	1	0	rt indiewire: amazon's undone is a genre-bending, time-breaking experiment and an artistic feat. benttravers reviews: https:t.colip7x
507	507	2019-09-12	@primevideo	Take an exclusive look inside #TheGoldfinch movie before it hits theaters tomorrow. Watch the film on Amazon Prime… https://t.co/JZSd3ZEZTi	1568311200.0	1	0	take an exclusive look inside thegoldfinch movie before it hits theaters tomorrow. watch the film on amazon prime https:t.cojzsd3zezti
510	510	2019-09-12	@primevideo	RT @NY_Comic_Con: Amazon @PrimeVideo Takeover Featuring Tom Clancy’s @JackRyanAmazon and @ExpanseOnPrime. Sat, 10.5 • 10:45 AM • Main Stage…	1568307584.0	1	0	rt nycomiccon: amazon primevideo takeover featuring tom clancys jackryanamazon and expanseonprime. sat, 10.5  10:45 am  main stage
